jobId,date,hours,amount,outlier
1,2023-08-29,4,284.64,1
1,2024-02-19,3,69.75,0
1,2023-06-24,4,176.9,0
1,2023-06-26,4,126.05,0
1,2023-10-14,7,177.77,0
1,2023-12-29,6,199.96,0
1,2023-10-27,5,150.04,0
1,2023-12-18,7,222.76,0
1,2024-05-25,5,191.43,0
1,2023-10-25,3,104.35,0
1,2024-05-26,3,292.05,1
1,2023-08-28,6,244.91,0
1,2024-05-02,6,169.7,0
1,2023-07-30,6,306.69,1
1,2023-12-06,3,122.84,0
1,2024-03-07,4,124.4,0
1,2023-11-22,6,169.07,0
1,2024-04-15,3,228.04,0
1,2023-08-18,4,175.56,0
1,2024-04-26,4,184.71,0
1,2023-07-21,3,119.05,0
1,2023-08-03,6,107.38,0
1,2023-09-15,5,206,0
1,2023-09-02,4,202.6,0
1,2024-03-06,3,65.42,0
1,2024-02-11,3,219.52,0
1,2024-01-12,5,243.82,0
1,2024-02-20,3,272.7,1
1,2023-06-22,3,98.08,0
1,2023-10-10,6,247.06,0
1,2023-10-12,7,283.33,1
1,2024-06-07,5,232.6,0
1,2024-04-18,4,162.86,0
1,2023-09-14,6,80.81,0
1,2024-04-22,6,90.33,0
1,2024-03-27,6,218.11,0
1,2023-07-24,3,234.63,0
1,2023-07-08,5,217.9,0
1,2024-03-31,4,296.51,1
1,2023-12-16,6,122.77,0
1,2023-06-23,7,273.84,1
1,2024-04-25,3,153.35,0
1,2023-08-12,4,242.51,0
1,2023-12-22,7,154.75,0
1,2024-01-30,4,266.62,1
1,2024-05-23,6,140.65,0
1,2024-02-22,5,178.21,0
1,2024-01-28,3,251.52,1
1,2023-06-14,5,226.98,0
1,2023-06-06,4,293.6,1
1,2023-08-16,3,95.41,0
1,2024-01-17,3,113.04,0
1,2024-05-19,3,221.98,0
1,2024-03-03,4,308.34,1
1,2024-07-04,6,238.63,0
1,2024-05-29,4,222.36,0
1,2023-08-27,6,288.36,1
1,2023-07-01,7,204.09,0
1,2024-05-31,3,66.08,0
1,2023-06-05,7,125.66,0
1,2023-10-03,6,329.71,1
1,2023-09-24,3,241.73,0
1,2023-06-30,4,79.69,0
1,2024-01-22,5,222.53,0
1,2023-09-04,5,75.67,0
1,2023-12-28,4,189.03,0
1,2024-03-02,6,141.42,0
1,2024-02-03,3,86.97,0
1,2023-06-02,7,197.73,0
1,2024-05-01,5,231.33,0
1,2024-04-02,4,229.01,0
1,2023-06-01,4,101.52,0
1,2023-12-01,7,110.96,0
1,2023-06-17,4,161.48,0
1,2024-05-14,4,288.67,1
1,2023-07-04,4,255.05,1
1,2023-08-10,4,168.17,0
1,2023-06-09,3,231.98,0
1,2024-02-15,3,118.75,0
1,2024-02-24,6,100.73,0
1,2023-10-16,5,140.3,0
1,2023-06-27,6,259.68,1
1,2023-07-27,7,263.47,1
1,2023-10-06,6,225.31,0
1,2024-01-10,3,138.95,0
1,2024-01-26,3,202.53,0
1,2023-06-16,3,220.29,0
1,2023-12-11,7,156.52,0
1,2023-06-28,5,95.9,0
1,2023-12-25,4,128.12,0
1,2023-10-23,5,113.88,0
1,2024-01-21,7,297.29,1
1,2024-03-20,5,211.67,0
1,2023-08-01,7,270.87,1
1,2023-10-08,5,329.43,1
1,2023-06-13,4,263.66,1
1,2024-04-14,4,247.72,0
1,2024-02-01,3,96.56,0
1,2024-06-23,4,283.25,1
1,2024-02-23,3,149.26,0
1,2024-06-30,5,241.3,0
1,2023-09-27,3,231.18,0
1,2023-07-25,3,246.42,0
1,2024-06-12,3,108,0
1,2024-03-08,6,244.82,0
1,2023-09-03,3,235.6,0
1,2024-01-16,3,224.58,0
1,2023-09-28,4,121.36,0
1,2024-02-09,6,261.12,1
1,2024-03-15,7,120.68,0
1,2024-01-03,3,209.6,0
1,2024-06-06,5,220.73,0
1,2024-06-21,6,245.93,0
1,2023-09-21,6,157.41,0
1,2024-03-16,4,250.87,1
1,2024-02-17,6,160.64,0
1,2023-12-14,7,192.69,0
1,2024-04-11,4,236.03,0
1,2023-12-27,7,138.04,0
1,2024-02-14,4,242.26,0
1,2024-05-04,3,174.57,0
1,2023-07-05,3,184.06,0
1,2023-11-19,4,250.52,1
1,2024-06-08,4,197.22,0
1,2023-10-11,5,128,0
1,2024-06-05,5,149.48,0
1,2023-09-08,3,223.4,0
1,2024-07-02,7,346.98,1
1,2024-05-13,4,106.99,0
1,2023-11-01,7,131.99,0
1,2023-07-10,4,92.03,0
1,2024-05-28,3,291.45,1
1,2023-12-10,6,257.53,1
1,2024-03-12,3,237.07,0
1,2024-01-06,3,245.46,0
1,2024-01-25,5,122.49,0
1,2024-06-25,7,294.6,1
1,2023-08-24,4,241.38,0
1,2024-04-17,6,134.99,0
